idx,TERMINAL,RAIL_CO,FRA_RRS_TO_MATCH,FRANODEID,FRA_RRS_AT_NODE,FRA_YARD_NAME,DISTANCE_TO_NODE,DISCARD,IS_CLOSEST_NODE,CLOSEST_FRANODEID,CLOSEST_DISTANCE,CLOSEST_FRA_RRS,LAT_AT_NODE,LON_AT_NODE
165,"Long Beach, CA - SSA Terminals (Pier A)",PHL,PHL,321198.0,"BNSF,PHL,UP",,0.21,,,321249,0.2,{'UP'},33.77361545000008,-118.24101641099998
166,"Los Angeles, CA - City of Industry",UP,UP,323621.0,UP,COI INTERMODAL TERMINAL,0.01,,Y,323621,0.01,{'UP'},34.008949752000035,-117.93303583499994
167,"Los Angeles, CA - East Washington Blvd",UP,UP,322501.0,UP,EAST,0.05,,Y,322501,0.05,{'UP'},34.01026167200007,-118.18589094699996
168,"Los Angeles, CA - Hobart",BNSF,BNSF,322423.0,BNSF,HOBART,0.07,,Y,322423,0.07,{'BNSF'},34.00848059700007,-118.19040218899994
169,"Los Angeles, CA - Lamar St (LATC)",UP,UP,321848.0,UP,SHOPS YARD (LATC),0.04,,Y,321848,0.04,{'UP'},34.05911878000006,-118.22358797299995
170,"Los Angeles, CA - Terminal Island Container Transfer Facility (TICTF)",PHL,PHL,320981.0,PHL,NYK / EVERGREEN TERMINAL,0.07,,Y,320981,0.07,{'PHL'},33.75509875300003,-118.25346440099997
171,"Louisville, KY",CSX,CSXT,426498.0,CSXT,OSBORN,0.19,,Y,426498,0.19,{'CSXT'},38.137190779000036,-85.73989655099996
172,"Louisville, KY - Appliance Park",NS,NS,427123.0,NS,,0.26,,Y,427123,0.26,{'NS'},38.17912268200007,-85.65382937899994
173,"Louisville, KY - Buechel",NS,NS,426845.0,NS,,0.06,,Y,426845,0.06,{'NS'},38.18612269000005,-85.68175413999995
174,"Marion, AR",UP,UP,394544.0,UP,MARION IMF,0.09,,Y,394544,0.09,{'UP'},35.19431628600006,-90.24973960499995
175,"Marion, OH - Ohio Valley Intermodal Facility","CSX, CPKC",CSXT,441341.0,CSXT,,0.1,Y,Y,441341,0.1,{'CSXT'},40.601651513000036,-83.05940631599998
176,"Memphis, TN",BNSF,BNSF,399116.0,BNSF,TENNESSEE,0.17,,Y,399116,0.17,{'BNSF'},35.02560654100006,-89.89687125799998
177,"Memphis, TN","CSX, CN",CN,396164.0,CN,MEMPHIS INTERMODAL TERM,0.13,,Y,396164,0.13,{'CN'},35.04556234800003,-90.15096030299998
178,"Memphis, TN - Rossville",NS,NS,401242.0,NS,MEMPHIS REGIONAL INTERMODAL,0.31,,Y,401242,0.31,{'NS'},35.011363491000054,-89.57525632299996
179,"Miami, FL","CSX, FEC",FEC,458547.0,FEC,HIALEAH (FEC),0.19,,Y,458547,0.19,{'FEC'},25.83223724800007,-80.30953954699999
180,"Miami, FL - Port of Miami Terminal Operating Company (POMTOC)","CSX, FEC",FEC,459924.0,FEC,,0.72,,Y,459924,0.72,{'FEC'},25.775259520000077,-80.17408043799998
181,"Minneapolis, MN - Shoreham Yard",CPKC,CPKC,381986.0,"CPKC,CN",SHOREHAM,0.04,,Y,381986,0.04,"{'CPKC', 'CN'}",45.02024045300004,-93.25615685599996
182,"Morrisville, PA",NS,NS,485735.0,"NS,CSAO,CSXT",MORRISVILLE,0.08,,,485740,0.05,{'CSAO'},40.190836699000045,-74.84686521399993
183,"Nashville, TN",CSX,CSXT,421933.0,CSXT,RADNOR,0.33,,Y,421933,0.33,{'CSXT'},36.086505088000024,-86.75789013499997
184,"New Orleans, LA",BNSF,BNSF,395872.0,"BNSF,CSXT,UP",,1.06,,,396087,0.11,{'UP'},29.915216478000048,-90.16806927999994
185,"New Orleans, LA",CN,CN,395310.0,CN,MAYS,0.1,,Y,395310,0.1,{'CN'},29.972192421000045,-90.19853399299996
186,"New Orleans, LA",NS,NS,397786.0,"NS,UP",OLIVER,0.05,,Y,397786,0.05,"{'NS', 'UP'}",29.98447679900005,-90.04385804299994
187,"New Orleans, LA",UP,UP,395194.0,"BNSF,NOPB,CSXT,AMTK,UP",AVONDALE (BNSF),0.04,,,395218,0.03,{'BNSF'},29.918210835000025,-90.20576827899998
188,"GCT New York, NY - ExpressRail (Staten Island)","CSX, NS","CSXT, NS",487776.0,"CSXT,NS,CSAO",,0.6,,,488002,0.24,"{'SIRR', 'CSAO'}",40.641052167000055,-74.19676526699999
189,Norfolk International Terminals (NIT),"CSX, NS via NPBL",NS,480018.0,NS,NORFOLK INTL TERM,0.12,,Y,480018,0.12,{'NS'},36.91667000000007,-76.31993999999997
190,"Norfolk, VA - Portlock",NS,NS,480323.0,NS,PORTLOCK,0.11,,Y,480323,0.11,{'NS'},36.80314171200007,-76.26608903199997
191,Virginia International Gateway (VIG),"CSX, NS via CWRY",CWRY,479838.0,CWRY,,0.47,,Y,479838,0.47,{'CWRY'},36.86866358200007,-76.36311040199996
192,"North Baltimore, OH - Northwest Ohio ICTF",CSX,CSXT,436988.0,CSXT,NORTHWEST OHIO TERMINAL,0.38,,Y,436988,0.38,{'CSXT'},41.18526990300006,-83.72966362899996
193,"North Bergen, NJ",CSX,CSXT,489837.0,"NS,NYSW,CSXT",,0.24,,,489805,0.09,{'NYSW'},40.79956330400006,-74.02662858099995
